address,user_name,network,protocol_name,deposited_amount,deposited_assets,pool_type,site_url,pool_key,pool_controller,pool_index
0x0000006daea1723962647b7e189d311d757fb793,Wintermute 2,eth,Aave V2,27380,,Lending,https://app.aave.com,eth-0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9-null,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,arb,Tapioca,27167,,Vesting,https://www.tapioca.xyz,arb-0x6f73a287611526d57112ad26ec396d86be65e104-null,0x6f73a287611526d57112ad26ec396d86be65e104,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,azuro,1498,,Vesting,https://azuro.org/liquidity,eth-0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f-null,0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Convex,3809,cvxCRV,Staked,https://www.convexfinance.com,eth-0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434-null,0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,EigenLayer,26023,ETH,Yield,https://app.eigenlayer.xyz,eth-0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2-null,0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Elixir,100694,deUSD USDC,Farming,https://www.elixir.xyz/apothecary,eth-0xc7963974280261736868f962e3959ee1e1b99712-null,0xc7963974280261736868f962e3959ee1e1b99712,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Enzyme,57001,stETH,Yield,https://app.enzyme.finance,eth-0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db-null,0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Ethena,24938,USDe,Farming,https://www.ethena.fi,eth-0x8707f238936c12c309bfc2b9959c35828acfc512-null,0x8707f238936c12c309bfc2b9959c35828acfc512,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,14320,FRAX USDC,Farming,https://app.frax.finance,eth-0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0-null,0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,19113,FRAX,Farming,https://app.frax.finance,eth-0x698137c473bc1f0ea9b85ade45caf64ef2df48d6-null,0x698137c473bc1f0ea9b85ade45caf64ef2df48d6,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,15631,FXS,Locked,https://app.frax.finance,eth-0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0-null,0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,15469,FRAX DAI USDC USDT,Farming,https://app.frax.finance,eth-0xeb81b86248d3c2b618ccb071adb122109da96da2-null,0xeb81b86248d3c2b618ccb071adb122109da96da2,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Kelp DAO,35380,ETH,Yield,https://kelpdao.xyz,eth-0xe1b4d34e8754600962cd944b535180bd758e6c2e-null,0xe1b4d34e8754600962cd944b535180bd758e6c2e,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,linea,ZeroLend,2555,ezETH,Lending,https://app.zerolend.xyz/,linea-0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269-null,0x2f9bb73a8e98793e26cb2f6c4ad037bdf1c6b269,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Napier Finance,28155,ETH,Yield,https://app.napier.finance,eth-0x5a2d321ed5c525e52a3b8d295c6d097a3c78b821-null,0x5a2d321ed5c525e52a3b8d295c6d097a3c78b821,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Symbiotic,28382,ETH,Staked,https://app.symbiotic.fi,eth-0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac-null,0x03bf48b8a1b37fbead1ecabcf15b98b924ffa5ac,
