address,user_name,network,protocol_name,deposited_amount,deposited_assets,pool_type,site_url,pool_key,pool_controller,pool_index
0x0000006daea1723962647b7e189d311d757fb793,Wintermute 2,eth,Aave V2,35319,,Lending,https://app.aave.com,eth-0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9-null,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,arb,Tapioca,29113,,Vesting,https://www.tapioca.xyz,arb-0x6f73a287611526d57112ad26ec396d86be65e104-null,0x6f73a287611526d57112ad26ec396d86be65e104,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,azuro,1645,,Vesting,https://azuro.org/liquidity,eth-0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f-null,0xdd180c6387468e1cb3d4a592016e8fe0ae8cc35f,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Convex,4158,cvxCRV,Staked,https://www.convexfinance.com,eth-0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434-null,0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Curve,25010,deUSD USDC,Liquidity Pool,https://curve.fi,eth-0x5f6c431ac417f0f430b84a666a563fabe681da94-null,0x5f6c431ac417f0f430b84a666a563fabe681da94,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,EigenLayer,29050,ETH,Yield,https://app.eigenlayer.xyz,eth-0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2-null,0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Elixir,50688,deUSD USDC,Farming,https://www.elixir.xyz/apothecary,eth-0xc7963974280261736868f962e3959ee1e1b99712-null,0xc7963974280261736868f962e3959ee1e1b99712,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Enzyme,63065,stETH,Yield,https://app.enzyme.finance,eth-0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db-null,0x1ce8aafb51e79f6bdc0ef2ebd6fd34b00620f6db,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Ethena,24946,USDe,Farming,https://www.ethena.fi,eth-0x8707f238936c12c309bfc2b9959c35828acfc512-null,0x8707f238936c12c309bfc2b9959c35828acfc512,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,14333,FRAX USDC,Farming,https://app.frax.finance,eth-0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0-null,0x3ef26504dbc8dd7b7aa3e97bc9f3813a9fc0b4b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,19167,FRAX,Farming,https://app.frax.finance,eth-0x698137c473bc1f0ea9b85ade45caf64ef2df48d6-null,0x698137c473bc1f0ea9b85ade45caf64ef2df48d6,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,16795,FXS,Locked,https://app.frax.finance,eth-0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0-null,0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,6TO9,eth,Frax,15544,FRAX DAI USDC USDT,Farming,https://app.frax.finance,eth-0xeb81b86248d3c2b618ccb071adb122109da96da2-null,0xeb81b86248d3c2b618ccb071adb122109da96da2,
